headline_1_words,headline_1_count,pros_1_words,pros_1_count,cons_1_words,cons_1_count,headline_2_words,headline_2_count,pros_2_words,pros_2_count,cons_2_words,cons_2_count,headline_3_words,headline_3_count,pros_3_words,pros_3_count,cons_3_words,cons_3_count,headline_4_words,headline_4_count,pros_4_words,pros_4_count,cons_4_words,cons_4_count,headline_5_words,headline_5_count,pros_5_words,pros_5_count,cons_5_words,cons_5_count
care,74,like,168,years,413,staff,79,really,215,training,344,much,248,food,669,difficult,730,hard,318,development,1132,pressure,982,ever,277,lot,1455,like,832
career,73,big,164,toxic,405,like,78,big,213,years,330,hard,230,discount,647,opportunities,724,ibm,315,employee,1112,like,981,employee,276,experience,1405,bit,791
leadership,66,bad,153,hr,401,employees,78,management,202,customers,325,learn,224,projects,607,environment,689,firm,314,well,1027,big,977,time,260,opportunity,1385,large,781
hours,65,money,151,make,397,big,77,opportunity,195,day,321,growth,223,fun,596,even,647,hours,312,really,1010,great,976,pay,254,time,1308,place,752
politics,61,learning,151,terrible,397,horrible,75,name,194,growth,321,sales,211,new,588,really,645,senior,308,supportive,991,nothing,973,opportunity,249,well,1278,say,738
join,58,location,145,leadership,392,senior,75,fun,190,hard,319,best,209,home,587,always,637,big,304,easy,985,politics,947,really,241,leadership,1197,better,733
employer,55,much,142,support,386,start,74,career,186,politics,308,senior,197,brand,587,manager,631,analyst,300,best,978,culture,912,analyst,224,flexibility,1159,far,731
much,53,employees,142,career,369,care,70,location,186,new,306,alright,195,office,566,leadership,624,amazing,292,decent,959,staff,901,management,222,get,1127,always,727
worth,53,one,140,know,363,first,70,exposure,182,never,302,get,189,big,564,enough,614,long,292,new,949,need,899,supportive,214,care,1107,team,723
never,53,opportunities,139,customers,362,managers,68,clients,182,make,302,ibm,187,well,551,great,604,flexible,273,many,944,employees,888,sales,214,new,1089,lots,706
long,53,culture,136,every,359,get,68,many,181,really,287,could,182,really,534,senior,593,workplace,269,support,939,really,881,senior,211,always,1066,little,701
overworked,51,learn,135,worked,350,awful,67,employees,179,terrible,286,lot,181,different,517,pressure,589,solid,267,excellent,920,limited,881,brilliant,208,fun,1063,opportunities,700
managers,50,training,133,want,347,opportunities,67,well,175,always,280,fine,171,clients,508,lots,587,employee,265,interesting,901,always,865,employees,205,grow,1022,pressure,693
manager,50,lot,131,take,342,politics,65,money,167,would,280,depends,171,interesting,506,times,570,associate,263,different,883,better,861,worked,203,many,987,environment,679
get,50,lots,123,new,338,benefits,64,new,163,less,280,part,168,employees,478,years,555,sales,260,fun,882,customers,852,wonderful,202,projects,875,customers,653
sucks,50,paid,123,nothing,331,employee,64,flexibility,158,progression,274,audit,160,many,461,busy,554,part,259,amazing,849,lots,838,first,199,atmosphere,848,experience,646
employee,49,many,118,worst,329,nice,64,different,149,benefits,262,assistant,154,growth,444,training,549,lots,257,perks,772,compensation,772,customer,198,managers,840,lack,644
bullying,45,new,114,high,322,worth,62,projects,145,business,261,lots,152,employee,423,benefits,533,okay,254,grow,761,environment,755,assistant,195,perks,826,change,619
best,44,ok,112,politics,318,decent,61,interesting,145,know,257,analyst,150,development,400,compensation,523,consultant,253,smart,756,projects,743,organization,195,professional,815,find,610
high,43,well,110,office,307,hard,61,like,144,every,255,deloitte,144,smart,395,level,519,fun,252,office,748,none,741,engineer,194,interesting,812,stressful,579
one,42,say,110,lot,303,would,59,nothing,139,hr,251,employer,142,skills,381,stressful,514,better,249,atmosphere,740,bit,704,fun,193,free,772,may,574
lack,41,exposure,105,really,300,support,58,make,138,expected,247,consultant,141,fast,380,limited,511,deloitte,246,free,737,promotion,700,associate,190,diversity,768,limited,560
team,41,else,100,go,289,avoid,56,perks,126,place,245,ey,140,name,369,make,509,get,237,clients,724,stressful,697,business,188,smart,762,employees,549
better,40,pro,97,little,288,training,56,paid,124,enough,237,years,138,perks,366,promotion,507,lot,223,home,707,change,697,consultant,187,values,757,due,544
growth,38,fun,94,year,284,term,55,managers,124,toxic,236,progression,136,best,366,support,506,pretty,221,always,697,benefits,683,development,172,like,749,processes,519
years,38,lovely,92,horrible,284,stressful,54,coworkers,122,also,234,staff,135,support,365,need,506,audit,208,skills,690,workload,672,positive,170,progression,733,fast,512
bother,37,leave,92,employee,283,lack,54,ok,120,level,231,high,134,amazing,352,new,487,assistant,207,leadership,666,internal,665,organisation,169,awesome,713,workload,510
worse,36,best,92,experience,278,stay,54,health,119,pressure,230,meh,131,always,345,could,478,ey,206,big,653,overtime,656,part,169,everyone,711,things,510
progression,35,flexibility,92,way,276,ibm,51,employee,114,lots,230,mcdonald,131,managers,344,year,474,development,196,managers,650,manager,655,deloitte,167,easy,700,would,507
recommended,35,make,91,without,274,could,49,fast,112,take,230,associate,130,money,341,day,472,consulting,192,professional,644,due,654,top,166,strong,694,progression,505
political,35,cv,91,also,272,lot,49,pros,111,employee,228,like,129,location,340,one,467,one,185,teams,626,business,645,student,163,different,676,process,505
hard,34,managers,91,paid,271,assistant,48,discounts,111,everything,227,slow,126,atmosphere,331,often,465,awesome,181,high,624,think,639,perfect,153,exposure,672,best,503
senior,34,better,87,say,262,little,48,smart,111,year,226,mixed,123,supportive,331,care,457,fast,179,discount,621,new,636,values,153,compensation,664,office,494
costs,34,worked,87,bullying,261,underpaid,48,much,111,teams,222,starting,123,schedule,330,business,451,business,177,brand,613,large,636,sap,153,one,662,competitive,493
office,33,career,85,give,261,overworked,47,resume,110,want,221,flexible,120,coworkers,328,big,446,student,172,diversity,613,enough,633,years,152,business,661,one,489
nothing,33,friends,84,need,260,money,46,one,110,opportunities,220,fast,116,global,322,bonus,445,challenging,172,strong,611,years,628,university,150,home,655,everything,480
support,33,thing,83,leave,254,want,46,customers,107,way,218,politics,116,like,319,workload,443,years,170,progression,591,often,625,service,149,high,648,ca,478
okay,33,clients,83,hard,254,high,44,worked,106,well,218,mcdonalds,116,high,317,change,438,low,169,compensation,587,process,620,flexible,149,office,639,new,476
pathetic,33,day,82,money,253,old,44,business,105,office,216,opportunity,112,teams,316,projects,437,customer,167,fast,582,make,618,support,149,food,636,politics,469
underpaid,33,coworkers,82,rude,252,audit,43,always,105,paid,213,corporate,112,start,312,teams,428,pwc,158,care,574,compared,608,ey,148,skills,635,culture,467
money,32,projects,81,things,252,sales,43,friends,101,rude,211,little,110,available,306,internal,416,well,157,food,573,level,599,lots,147,helpful,634,internal,466
rubbish,32,employee,81,awful,251,ey,43,schedule,101,worked,209,firm,110,excellent,305,better,416,positive,156,like,554,competitive,593,loved,146,help,632,staff,461
waste,32,different,81,always,249,mcdonalds,43,amazing,101,without,203,cons,109,diversity,302,office,414,poor,154,technology,549,leadership,590,hard,143,fantastic,626,business,459
corporate,32,manager,80,health,248,alright,42,bonus,100,great,199,pwc,109,large,302,every,411,service,153,bonus,542,market,590,software,143,love,606,compensation,459
values,32,discounts,80,business,245,lots,41,overtime,98,experience,197,employee,108,make,301,rude,410,engineer,152,diverse,527,teams,582,big,141,competitive,593,projects,455
workplace,32,level,79,ever,244,firm,41,shift,97,need,195,fun,107,travel,296,overtime,407,progression,151,business,524,senior,578,professional,140,teams,585,enough,451
nice,32,health,78,well,243,progression,40,large,97,money,192,business,107,bonus,288,compared,399,training,151,competitive,516,things,566,staff,136,inclusive,558,move,448
mcdonalds,32,customers,77,expected,241,expect,40,day,96,extremely,192,role,106,technology,286,market,396,much,150,helpful,510,hike,560,pwc,133,family,556,benefits,446
big,31,resume,75,back,240,number,40,global,96,overtime,191,term,105,overtime,276,development,393,exposure,150,available,489,processes,551,solid,132,fast,544,anything,445
unprofessional,30,travel,75,everyone,231,service,40,meet,96,slow,189,customer,104,compensation,272,experience,388,organization,148,global,470,shifts,547,decent,130,feel,534,promotion,441
please,29,want,72,treated,228,learning,40,skills,94,often,186,leadership,104,much,271,also,383,interesting,146,resources,461,one,537,better,129,everything,533,challenging,437
