headline_1_words,headline_1_count,pros_1_words,pros_1_count,cons_1_words,cons_1_count,headline_2_words,headline_2_count,pros_2_words,pros_2_count,cons_2_words,cons_2_count,headline_3_words,headline_3_count,pros_3_words,pros_3_count,cons_3_words,cons_3_count,headline_4_words,headline_4_count,pros_4_words,pros_4_count,cons_4_words,cons_4_count,headline_5_words,headline_5_count,pros_5_words,pros_5_count,cons_5_words,cons_5_count
sucked,16,building,40,constant,140,pressure,21,strong,55,changes,122,position,54,4,146,bit,225,change,71,willing,260,making,296,proud,57,days,267,load,239
hell,15,remote,40,right,140,improvement,21,meal,55,room,122,perks,54,wfh,146,firm,224,build,71,members,260,hr,296,brand,57,facilities,267,overall,239
overall,15,vacation,40,keep,140,member,21,professional,55,political,122,school,54,right,145,made,223,top,71,tech,260,might,295,college,57,internal,264,go,238
minimum,15,low,39,clients,140,nhs,21,generally,54,expectations,121,member,54,everyone,144,amount,222,data,70,quality,258,around,293,skills,57,exciting,263,retail,238
discrimination,15,getting,39,different,139,students,20,students,53,minimum,121,busy,53,policies,143,companies,222,stepping,69,ibm,258,organisation,286,salesforce,57,quality,263,done,237
covid,15,enough,39,unless,138,cons,20,pro,53,technology,121,professional,53,cool,143,personal,221,little,68,fantastic,255,weekends,286,easy,56,across,261,learn,237
treated,15,package,39,leaders,137,everything,20,tech,53,real,120,bag,52,students,142,cons,217,things,67,covid,254,bureaucratic,283,enjoyed,56,market,260,technology,236
going,15,teams,39,covid,136,pretty,20,resources,53,store,120,market,52,take,141,large,216,cool,66,mobility,254,getting,282,places,56,innovation,260,comes,236
hate,15,breaks,38,higher,135,mediocre,20,paced,53,system,120,progress,51,relaxed,141,bureaucracy,216,wonderful,65,structure,253,deadlines,281,finance,56,large,260,based,235
got,15,give,38,promoted,135,look,20,even,53,us,119,care,51,able,139,bonuses,214,finance,65,social,251,easy,281,position,56,happy,258,systems,234
bank,15,something,38,best,134,process,20,talented,52,targets,118,stepping,51,tech,139,wage,214,full,65,community,250,end,280,smart,56,highly,257,promotions,234
leave,15,value,38,home,133,fun,20,thing,52,quality,117,na,51,years,138,help,213,worked,64,friends,250,promoted,279,exposure,55,value,255,getting,233
software,15,workers,38,see,133,treated,20,got,52,move,117,organisation,51,wage,138,real,213,smart,64,year,246,learning,277,office,55,clear,253,senior,230
year,15,facilities,38,rather,132,consulting,20,social,51,focus,117,name,51,okay,138,client,212,crew,64,industries,243,hour,271,class,54,location,253,way,230
many,15,sales,38,1,132,college,20,find,51,best,115,food,51,across,138,grow,210,technical,63,curve,241,constant,267,citi,54,access,252,thing,228
favouritism,14,honestly,38,someone,130,ever,20,knowledge,51,short,114,employment,50,remote,138,learning,208,international,63,options,239,service,265,right,53,brilliant,248,complex,228
know,14,going,37,partners,130,looking,20,internal,51,got,114,flexibility,49,bad,136,minimum,208,expect,62,wide,239,department,264,graduate,53,process,248,mention,228
else,14,tech,37,members,129,recommended,20,store,50,rather,113,overworked,49,open,134,service,206,happy,62,talented,235,load,262,product,53,never,247,average,226
workload,14,starting,37,use,129,organisation,19,enough,50,first,113,stone,49,scheme,131,fast,205,enjoyed,62,generally,233,worked,262,fair,53,travel,247,pace,224
retail,14,access,37,something,129,flexible,19,pto,49,going,112,risk,49,average,131,department,204,starter,62,policy,233,takes,261,yes,52,variety,245,expectations,222
disorganised,14,due,37,minimum,129,organization,19,reasonable,49,almost,112,mediocre,49,starting,131,say,204,security,62,organization,233,certain,261,1,52,would,242,short,221
bullies,14,overall,37,project,129,position,19,gain,49,think,112,cashier,49,covid,131,repetitive,203,far,61,right,231,grow,259,school,52,international,242,especially,221
trash,14,literally,36,wage,128,minimum,19,product,49,personal,111,rewarding,48,positive,131,season,203,graduate,61,collaborative,230,flexible,257,quality,51,wellbeing,239,worked,220
compensation,14,uniform,36,internal,127,health,19,plenty,48,service,111,eh,48,events,130,diversity,203,risk,61,pto,227,far,257,food,51,need,238,part,218
term,14,dont,36,look,127,retail,19,would,48,stress,110,global,48,sometimes,129,unless,200,office,61,wfh,226,given,256,many,51,options,236,making,218
role,14,policy,36,find,127,4,19,go,48,bullying,110,internal,48,reputation,127,constantly,200,apple,61,range,226,without,255,executive,51,structure,235,certain,217
school,14,ability,36,personal,126,beware,18,401k,47,person,110,finance,48,roles,126,put,199,recommend,61,shift,224,personal,254,growing,51,teamwork,235,even,216
opportunity,14,average,35,big,126,admin,18,networking,47,opportunity,109,process,47,values,126,health,198,politics,60,holidays,223,diversity,254,superb,51,understanding,234,food,213
make,14,reputation,35,value,125,worse,18,building,46,client,108,room,47,various,126,system,198,stressful,60,able,223,expect,251,outstanding,50,willing,233,however,213
services,14,cons,35,dont,125,pros,18,vacation,46,covid,108,go,47,times,125,rather,197,operations,59,market,223,location,250,compensation,50,rewarding,232,bureaucratic,211
without,14,right,35,real,125,unprofessional,18,various,46,ever,107,product,47,senior,124,late,197,still,59,inclusion,223,system,247,crew,50,talented,232,na,211
tax,14,covid,34,avoid,123,friendly,18,wfh,46,roles,107,young,47,organization,124,hour,195,times,59,progress,220,huge,245,account,49,corporate,231,dont,210
based,13,cool,34,start,123,direction,18,willing,46,else,107,love,47,wide,122,advancement,194,assurance,59,roles,219,wage,244,focused,49,security,230,client,210
part,13,world,34,especially,123,middle,18,role,45,lower,107,improvement,45,multiple,122,horrible,194,hsbc,59,various,219,home,243,competitive,49,members,230,boring,206
slave,13,competitive,34,promotions,120,quality,18,technologies,45,week,106,cool,45,cv,121,bureaucratic,194,young,58,meet,217,bonuses,243,employers,49,policies,230,paid,206
colleagues,13,leadership,34,weeks,120,ship,17,coffee,44,jobs,106,looking,45,willing,120,weekends,193,family,57,corporate,213,customer,242,stable,49,super,227,available,206
global,13,move,34,difficult,119,bureaucratic,17,canteen,44,value,106,stress,45,product,120,tech,193,care,57,busy,210,position,242,program,49,pension,226,around,206
department,13,security,34,4,119,challenging,17,cool,44,weekends,105,recommend,45,sales,120,depends,193,advisor,57,feel,208,jobs,241,full,48,roles,224,employee,205
highly,13,excellent,34,market,118,risk,17,ability,44,boring,105,workload,44,gain,120,leaders,190,managers,57,value,208,covid,240,could,46,driven,224,progress,204
start,13,met,34,turnover,118,grow,17,give,44,needs,105,always,44,quality,120,understaffed,187,wlb,57,understanding,204,departments,238,home,46,discounts,221,real,204
level,13,never,33,absolutely,118,still,16,early,43,industry,104,competitive,44,nothing,119,number,184,school,57,communication,203,amount,237,driven,46,able,221,schedule,201
none,13,customer,33,5,118,entry,16,know,43,treat,103,expected,44,fair,119,upper,182,enough,56,exciting,199,leave,236,advisory,46,client,220,huge,200
reviews,13,plenty,33,used,117,cost,16,scheme,43,wage,103,atmosphere,44,compared,119,colleagues,182,difficult,56,networking,198,schedule,236,okay,45,given,219,grow,199
development,13,still,33,unprofessional,117,interesting,16,gym,43,clear,103,developer,44,reasonable,119,2,182,companies,56,bonuses,197,never,235,hotel,45,respect,219,ibm,199
process,13,site,33,join,117,india,16,need,43,amount,103,graduate,44,process,118,jobs,181,employment,56,build,197,week,233,none,45,research,218,flexible,197
joke,13,variety,33,talk,116,potential,16,see,43,etc,102,toxic,43,quite,118,organization,181,exciting,55,provides,193,levels,231,leader,44,welcoming,217,top,197
food,13,end,33,literally,116,getting,16,everyone,42,diversity,102,move,43,talented,118,outside,181,always,55,research,193,part,231,dream,44,ability,217,hectic,195
gsk,13,medical,33,thing,116,driven,16,breaks,42,compared,102,huge,43,pto,118,certain,179,entry,55,organisation,192,hectic,230,wlb,44,product,217,focus,191
kpmg,13,use,32,almost,115,based,16,relaxed,42,another,102,getting,43,given,116,give,178,department,55,provided,192,come,230,process,43,loved,215,specific,190
store,12,family,32,etc,115,school,16,family,42,line,101,hr,42,develop,115,home,177,accounting,55,clear,192,turnover,229,customers,43,organisation,214,end,189
leaders,12,left,32,reviews,114,young,16,looks,42,corporate,101,projects,42,solid,115,covid,177,would,54,love,190,4,227,worth,43,full,213,never,188
next,12,car,32,shifts,114,cashier,16,reputation,42,zero,100,skills,41,vacation,115,demanding,175,mixed,54,given,190,store,227,lead,43,huge,212,nice,187
total,12,honest,32,full,114,food,16,group,42,workers,99,worse,41,store,114,small,175,loved,54,huge,190,care,226,cashier,42,benefit,212,repetitive,186
communication,12,international,32,others,113,take,15,project,41,though,99,changes,41,depending,114,increase,174,needs,54,multiple,190,advancement,224,interview,42,network,211,downsides,186
friendly,12,take,32,client,113,industry,15,potential,41,look,99,going,41,community,114,keep,174,general,54,trainings,189,clients,223,technical,42,extremely,211,deadlines,186
professional,12,technology,32,complete,111,sinking,15,options,41,members,98,full,41,bonuses,113,find,174,banking,54,relaxed,188,increase,222,leading,42,incredible,210,performance,184
ethics,12,making,32,incompetent,111,progress,15,wide,41,poorly,97,operations,40,corporate,113,depending,173,product,54,gain,188,everyone,221,innovation,42,provides,208,consulting,183
0,12,401k,32,ask,110,bureaucracy,15,base,41,clients,97,advisory,40,fantastic,112,clear,173,focused,53,employer,188,per,220,marriott,42,insurance,208,pandemic,179
expectations,12,except,32,food,110,day,15,sick,40,use,97,top,39,made,112,none,172,citi,53,students,186,keep,219,advisor,41,impact,207,love,179
harassment,12,diversity,32,overworked,109,conditions,15,say,40,understaffed,96,nhs,39,room,112,value,172,inclusive,52,freedom,184,clear,218,dynamic,41,us,204,customer,178
full,12,reason,32,though,108,made,15,sales,40,salaries,95,advisor,38,amount,112,overworked,171,stay,52,stability,183,back,217,day,41,makes,204,improved,178
risk,12,etc,32,stress,108,every,15,use,40,call,94,still,38,go,111,week,171,growing,51,cares,183,minimum,217,covid,41,social,201,given,176
slow,12,resources,32,upper,108,soul,15,still,40,4,94,structure,38,depends,111,makes,171,quality,51,sales,182,outside,216,future,41,advancement,201,back,176
top,12,deloitte,32,systems,108,project,15,generous,40,find,94,resume,38,policy,111,etc,170,generally,51,even,180,number,214,projects,41,provide,199,room,175
possible,12,bank,31,try,108,move,15,process,40,direction,94,standard,37,curve,111,others,170,none,51,process,180,made,213,cloud,41,future,198,cant,174
every,12,roles,31,since,108,bother,15,positive,40,last,94,gain,37,base,110,position,167,internal,50,4,179,areas,213,employment,40,right,197,jobs,174
4,12,non,31,part,107,workload,15,fantastic,40,position,93,college,37,lunch,109,underpaid,166,process,50,ok,179,others,209,banking,40,kind,197,improve,174
salaries,11,lucky,31,come,107,constant,15,challenging,39,talk,93,bit,36,pressure,109,line,166,hr,50,advancement,179,longer,209,security,40,oriented,197,moving,174
clear,11,client,31,quality,107,clear,15,little,39,respect,92,everyone,36,networking,109,middle,164,point,50,highly,179,complex,209,operations,40,mobility,195,system,171
treat,11,project,31,despite,106,without,15,quite,39,someone,92,covid,36,way,108,quality,164,comfortable,50,based,178,flexibility,207,india,40,made,194,hikes,171
sexist,11,worth,31,wrong,104,engineer,15,less,39,stay,91,research,36,mostly,107,first,163,bit,49,events,178,makes,205,international,40,cool,193,makes,170
fake,11,central,31,roles,104,mental,15,college,39,used,90,political,36,range,107,us,163,looking,49,pandemic,176,anything,205,diversity,39,policy,189,per,169
modern,11,50,31,favouritism,104,expected,15,roles,38,progress,90,data,36,technical,107,far,163,pressure,49,product,176,paced,204,forward,39,know,189,changing,168
needs,11,politics,31,structure,104,data,15,starting,38,tech,90,point,36,trainings,107,right,162,gain,49,teamwork,175,extra,204,financial,39,takes,187,position,168
technical,11,generally,31,political,104,covid,15,close,38,bonuses,90,accounting,36,areas,106,skills,162,freshers,49,hr,174,red,204,centric,39,overtime,186,early,167
nepotism,11,social,30,organization,104,none,15,based,38,huge,89,3,36,breaks,106,extra,161,google,49,areas,174,extremely,203,level,39,growing,186,able,167
hostile,11,rate,30,workers,103,poorly,14,relatively,38,despite,89,lost,35,especially,106,food,161,diverse,48,path,174,ca,203,cons,39,times,182,though,167
soul,11,pandemic,30,tell,103,unorganised,14,take,38,favoritism,89,dont,35,build,105,gets,161,personal,48,vacation,174,learn,202,phd,39,challenges,182,holidays,166
pretty,11,10,30,position,102,leave,14,policies,38,unrealistic,88,marketing,35,enough,104,actually,160,platform,48,holiday,173,skills,202,assurance,38,freedom,182,required,166
industry,11,guess,30,seen,102,stress,14,depending,38,decisions,88,wlb,35,know,104,load,160,short,48,innovative,173,quality,202,feel,38,change,181,service,165
bureaucratic,11,diverse,30,two,102,large,14,peers,38,full,88,heavy,34,co,103,anything,159,highly,48,responsibility,172,changing,202,accounting,38,group,181,overwhelming,165
learning,11,break,30,extra,102,values,14,quick,37,heavy,88,jobs,34,extra,103,stay,159,worth,48,need,171,moving,201,purpose,37,back,180,help,164
direction,11,outside,30,busy,101,worklife,14,break,37,average,88,different,34,personal,103,departments,158,market,48,amount,171,required,199,pros,37,sales,180,since,164
headline,11,strong,30,amount,101,wage,14,events,37,partners,88,technical,34,value,103,3,158,client,48,especially,171,gets,199,managers,36,workers,179,constant,163
absolute,11,5,30,instead,101,year,14,provided,37,may,87,specialist,34,school,103,technical,158,microsoft,48,solid,169,positions,199,nothing,36,dynamic,179,non,163
technology,11,pays,30,stressful,101,line,14,higher,37,companies,86,personal,34,401k,102,call,157,demanding,47,promotion,169,decision,198,platform,36,real,178,decision,161
mess,11,maybe,30,line,100,marketing,14,way,37,part,85,positive,34,ibm,102,left,157,going,47,driven,168,tasks,197,real,36,project,177,promoted,161
disgusting,11,services,29,directors,100,unless,14,medical,37,come,85,banking,34,kind,101,almost,157,india,47,leaders,168,real,197,group,36,path,176,longer,160
cook,11,drinks,29,review,100,strategy,14,remote,37,breaks,85,auditor,34,annual,100,come,157,paid,46,way,168,though,197,young,36,potential,173,navigate,160
asda,10,supportive,29,may,99,advancement,14,amount,37,run,85,assurance,34,bank,100,targets,156,store,46,cool,167,holidays,196,digital,36,shifts,173,us,159
us,10,atmosphere,29,contract,99,customers,14,school,37,makes,84,hsbc,34,awesome,99,term,156,member,46,change,166,decisions,196,hsbc,36,provided,173,positions,158
person,10,hour,29,ca,99,starter,14,compared,36,pandemic,84,temporary,33,terms,98,clients,156,brilliant,45,services,164,across,196,times,35,look,172,issue,158
shift,10,everything,29,clear,98,please,14,given,36,grow,84,know,33,usually,98,learn,156,executive,45,remote,163,seems,195,thinking,35,go,171,expect,158
undervalued,10,knowledge,29,worse,98,resume,14,used,36,see,83,strategy,33,got,98,outdated,155,move,45,full,163,retail,194,collaborative,35,centric,171,major,157
looking,10,snacks,29,racist,98,workers,14,needed,36,extra,83,horrible,33,leaves,98,direction,155,dynamic,44,scheme,162,tape,194,community,35,give,170,going,156
group,10,least,29,non,98,hell,13,top,36,rate,83,family,33,need,98,organisation,154,typical,44,pressure,162,food,194,focus,35,gives,170,night,156
valued,10,hr,29,companies,97,2,13,organization,36,hike,83,expectations,33,even,97,breaks,153,join,43,annual,162,lost,193,progress,35,transparent,170,department,154
chaos,10,provide,29,speak,97,hour,13,allowance,35,outside,83,pays,33,provides,97,huge,153,old,43,401k,162,etc,193,fine,35,looking,168,competition,153
difficult,10,however,29,6,96,careful,13,extra,35,increase,83,issues,32,mobility,96,rate,152,go,43,education,161,2,192,director,34,curve,168,experienced,153
skills,10,quite,29,trying,96,tax,13,usually,35,seems,82,demanding,32,full,95,tasks,151,perfect,42,depends,160,right,192,go,34,students,168,money,153
na,10,allowance,29,compensation,96,5,13,healthcare,35,hire,82,worker,32,sick,95,got,150,mostly,42,starting,160,rather,189,recruitment,34,multiple,167,worth,153
gone,10,based,29,opportunity,96,financial,13,across,35,1,82,highly,32,varied,95,part,149,workload,42,base,157,manage,189,take,34,talent,166,till,152
employment,10,close,28,blame,95,advisory,13,benefit,35,organization,82,however,32,back,95,see,148,value,42,bank,156,us,187,pandemic,34,hr,166,red,152
consider,10,card,28,joke,95,things,13,co,35,tasks,82,quality,32,building,94,workers,147,leader,42,wage,156,become,186,every,34,something,166,clients,151
profit,10,us,28,break,95,bank,13,met,34,matter,81,general,32,stability,94,unrealistic,147,jobs,42,group,156,product,186,b,34,enjoy,165,leave,151
enough,10,product,28,pandemic,95,changing,13,10,34,next,81,hike,32,less,94,minimal,147,potential,42,approachable,155,path,185,risk,34,healthy,164,become,151
personal,10,full,28,processes,94,waste,13,student,34,product,81,citi,32,quickly,94,decisions,147,auditor,42,depending,155,give,185,looking,33,busy,163,outside,150
stars,10,minimum,28,sure,94,finance,13,areas,34,technical,80,companies,31,would,93,schedule,147,home,41,everything,155,targets,183,progressive,33,offers,163,levels,150
higher,10,times,27,leaving,94,mess,13,range,34,break,79,none,31,communication,93,seems,146,know,41,quite,155,going,183,hospitality,33,tools,163,first,150
twice,10,room,27,workplace,94,pays,13,love,34,late,79,pace,31,allowance,92,members,145,salaries,41,caring,155,money,182,money,33,holidays,162,wage,149
left,10,back,27,breaks,93,another,13,pressure,34,strategy,79,salaries,31,rate,92,strategy,145,diversity,41,extra,154,mobility,182,market,33,friends,162,lost,149
quality,10,gain,27,rate,93,technical,13,full,34,actual,79,direction,31,teamwork,92,per,144,2,41,intelligent,154,line,182,potential,33,build,162,amount,148
brand,10,may,27,school,93,tesco,13,leadership,34,advancement,79,2,31,college,92,flexible,143,cloud,41,dynamic,154,put,181,morgan,33,enjoyed,161,tiring,148
eh,10,development,27,taken,92,last,12,personal,33,raises,79,back,31,focus,92,levels,143,teams,40,focused,153,hierarchical,181,grad,32,bonuses,160,hr,148
alright,10,way,27,let,92,understaffed,12,leaves,33,departments,78,pizza,31,potential,92,full,143,caring,40,workers,152,contract,181,client,32,class,160,manage,148
idk,10,across,27,hire,92,projects,12,annual,33,mental,78,leader,30,student,91,recognition,142,way,40,chance,152,unless,181,absolutely,32,4,160,else,147
cashier,10,benefit,27,completely,92,former,12,huge,33,levels,78,strong,30,organisation,91,raises,141,quite,40,reputation,152,technical,181,everything,32,forward,159,others,147
everything,9,reasonable,27,salaries,91,anymore,12,2,33,since,78,everything,30,medical,91,going,139,marketing,40,program,152,technologies,181,org,32,based,158,extremely,147
end,9,meal,27,10,90,global,12,bank,33,recognition,78,value,30,pros,90,resources,138,covid,40,medical,152,term,180,enjoy,32,recognition,158,amazing,147
workers,9,poor,26,asked,90,downhill,12,covid,33,impossible,78,quite,30,generous,90,pretty,138,cares,40,terms,151,terms,180,talent,32,chance,157,personal,147
lies,9,values,26,positions,90,expectations,12,fair,32,quite,77,awful,29,top,90,flexibility,138,progress,39,know,150,improved,180,entry,31,stable,157,must,146
bully,9,events,26,impossible,89,small,12,senior,32,underpaid,77,normal,29,structure,90,though,138,program,39,kind,150,specific,179,value,31,remote,157,pretty,146
managed,9,cheap,26,proper,88,market,12,getting,32,5,77,leave,29,relatively,90,another,137,focus,39,oriented,150,understaffed,178,delivery,31,pretty,157,months,145
hike,9,come,26,yet,88,valued,12,offer,32,per,76,executive,29,understanding,90,1,137,hotel,39,reasonable,149,competitors,178,even,31,generous,156,areas,145
anymore,9,week,26,treatment,88,advisor,12,ca,32,weeks,76,group,29,services,89,4,136,nothing,39,tools,149,stay,177,store,31,feedback,156,complain,145
shambles,9,parking,26,reason,87,issues,12,commission,32,6,76,bureaucratic,29,workplace,89,highly,136,fresh,39,times,148,early,176,feedback,31,performance,156,area,145
tough,9,cant,26,next,87,cool,12,change,32,others,76,security,29,inclusive,88,changing,136,delivery,39,peers,148,see,175,department,31,improve,156,etc,144
product,9,top,26,values,87,feel,12,structure,32,learn,76,diversity,29,promotion,88,positions,135,vodafone,39,offers,147,hierarchy,175,uni,31,program,156,extra,144
marketing,9,organization,26,makes,86,na,12,room,31,seen,76,changing,29,clear,87,seem,134,group,38,go,147,frequent,174,vision,31,especially,155,something,144
real,9,employment,26,face,86,teams,12,tasks,31,something,76,cv,29,education,87,challenging,134,worker,38,provide,147,months,173,jobs,30,continuous,155,decisions,143
1,9,usually,26,hired,86,red,12,uniform,31,right,75,values,29,progress,86,non,133,curve,38,recognition,147,driven,173,headline,30,leader,155,product,143
world,9,apart,26,direction,86,shift,12,locations,31,food,75,cloud,29,find,86,across,132,improvement,37,rewarding,145,ibm,173,busy,30,supported,155,growing,143
dishonest,9,kind,25,cut,86,product,12,known,31,thing,75,sap,29,3,86,takes,132,based,37,autonomy,145,issue,172,never,30,making,154,gets,142
change,9,horrible,25,short,85,behind,12,focus,31,start,75,hikes,29,set,85,tough,132,clients,37,incentives,144,first,172,exceptional,30,spirit,154,political,142
extremely,9,small,25,list,84,treatment,12,open,31,across,75,hut,29,system,85,ibm,132,getting,37,jobs,144,consulting,170,journey,30,education,154,honestly,141
unfair,9,feel,25,certain,84,needed,12,pays,31,middle,75,advancement,28,meals,85,deal,131,fresher,37,2,144,overall,169,member,30,say,153,made,141
stuck,9,network,25,corporate,83,services,12,guess,31,talent,75,number,28,huge,85,increment,131,places,37,technical,143,middle,169,gain,30,meet,152,maybe,141
mediocre,9,though,25,cons,83,processes,12,grow,31,values,75,asda,28,jobs,84,person,130,future,37,generous,142,since,169,auditor,30,autonomy,152,side,140
bonus,9,recommend,25,means,82,hsbc,12,space,31,knowledge,74,generally,28,inclusion,84,use,130,standard,37,performance,141,pretty,168,much,29,genuinely,152,point,140
past,9,wfh,25,useless,82,undervalued,11,infrastructure,31,looking,74,neutral,28,needed,83,dont,130,changing,37,1,141,terrible,167,looks,29,google,152,store,139
processes,9,peers,25,move,82,store,11,due,31,competitive,74,feedback,28,consulting,83,terms,130,enjoy,36,offices,140,help,167,2,29,areas,151,size,138
future,9,talented,25,tech,82,chaotic,11,general,31,contract,73,potential,28,fairly,83,moving,130,depending,36,departments,140,annual,167,engineering,29,collaboration,151,put,138
customers,9,pto,25,levels,81,focus,11,something,31,seem,73,smart,28,meal,83,talent,130,everyone,36,building,140,tight,167,join,29,pto,151,challenge,138
blame,9,corporate,25,late,81,going,11,quickly,31,gets,73,driven,28,peers,83,easy,130,benefit,36,store,139,almost,165,going,29,store,150,meetings,137
slavery,9,sick,25,unrealistic,81,stable,11,minimum,30,ca,73,store,27,feel,82,comes,129,network,36,average,139,night,164,room,29,ethics,150,tape,137
hire,9,employer,25,far,80,communication,11,services,30,outdated,73,conditions,27,exciting,82,treated,129,internship,36,compared,139,deal,164,way,29,university,150,diversity,137
turnover,9,speak,24,family,80,branch,11,solid,30,far,72,based,27,tools,82,become,128,bt,36,innovation,139,constantly,164,oriented,29,young,150,tasks,136
nhs,9,actually,24,however,80,structure,11,campus,30,large,72,wage,27,early,81,pandemic,128,marriott,36,system,138,area,161,help,29,vision,150,deal,135
micro,9,anyone,24,set,79,trash,11,pandemic,30,home,72,join,27,advancement,81,despite,128,improve,35,potential,137,comes,161,investment,29,range,150,weekend,135
find,9,scheme,24,calls,79,demanding,11,steady,30,anyone,71,world,27,freedom,81,transparency,127,expected,35,future,137,stuck,160,mission,29,encouraged,150,without,135
internal,9,plan,24,bonuses,79,extremely,11,50,30,non,71,india,27,met,80,talk,127,different,35,improve,137,competition,160,cook,29,perfect,149,departments,134
times,9,annual,24,learn,79,boys,11,crew,30,repetitive,70,depending,27,change,80,driven,127,mobility,35,leaves,137,thing,159,fab,28,throughout,149,used,134
self,9,thats,24,favoritism,79,club,11,recognition,30,wrong,70,real,27,see,80,policy,127,however,35,gives,136,increment,159,satisfaction,28,3,148,slightly,134
tech,9,base,24,deloitte,79,org,11,fairly,29,highly,70,investment,27,timings,80,focused,127,bureaucracy,35,enjoyed,135,means,159,hr,28,trust,148,happy,134
member,9,technical,24,whole,78,family,11,1,29,try,69,bonus,27,financial,79,months,127,barclays,35,made,135,pace,158,starter,28,ceo,147,increase,134
rights,8,depending,24,meetings,78,improve,11,hour,29,means,69,things,27,dynamic,79,product,127,account,35,deloitte,134,upper,158,term,28,holiday,147,week,133
managment,8,less,24,per,78,skills,11,departments,29,taken,69,worklife,27,departments,78,away,125,pays,34,spirit,132,improve,157,know,28,put,147,means,132
delivery,8,process,24,poorly,78,upper,11,jobs,29,either,69,university,26,retail,78,holidays,124,1,34,back,130,size,157,stay,28,recommend,146,share,132
lost,8,since,24,slow,78,us,11,stay,28,fast,68,end,26,pays,78,awful,122,coworkers,34,facility,130,available,157,tough,28,find,146,start,131
bias,8,share,23,month,77,guess,11,trainings,28,cost,68,health,26,path,78,path,122,food,34,growing,129,side,156,continuous,28,incentives,145,add,130
willing,8,person,23,expectations,77,gain,10,program,28,able,68,account,26,week,77,zero,121,find,34,varied,129,breaks,156,study,28,intelligent,145,full,130
promotion,8,keep,23,least,77,managed,10,awesome,28,instead,68,freshers,26,could,77,hierarchy,121,policies,33,brilliant,128,outdated,156,health,27,leading,144,remote,130
consultant,8,meeting,23,sick,77,hires,10,community,28,driven,67,focus,26,recognition,77,break,120,sometimes,33,latest,128,highly,155,things,27,2,144,away,129
shop,8,higher,23,changes,77,overtime,10,stability,28,deal,67,accountant,26,program,77,required,120,boring,33,skill,128,cost,153,look,27,system,143,clear,128
ca,8,position,23,progress,76,1,10,technical,28,asked,67,improve,26,never,76,policies,120,experienced,33,bad,127,colleagues,152,internal,27,various,142,free,127
elsewhere,8,stay,23,feedback,76,leaders,10,value,28,term,67,middle,25,stress,76,location,120,innovative,33,ethics,127,leaders,152,low,27,gain,142,intense,127
center,8,quality,23,please,76,specialist,10,area,27,policies,67,reasonable,25,looks,76,deadlines,119,huge,33,timings,127,full,152,knowledge,27,trainings,142,open,125
racism,8,join,23,micro,76,joining,10,end,27,small,67,within,25,low,76,ca,118,processes,33,give,127,use,151,large,27,name,142,hour,124
fine,8,school,23,power,76,outdated,10,though,27,unprofessional,67,hit,25,infrastructure,76,cost,118,secure,32,university,126,legacy,151,network,26,valued,141,hierarchy,124
miserable,8,gsk,23,forced,76,personal,10,per,27,set,66,think,25,gym,75,used,117,cashier,32,conditions,126,transparency,151,plenty,26,1,141,needed,124
use,8,jobs,22,recommend,76,salaries,10,corporate,27,ask,66,teams,25,department,75,meetings,117,org,32,platform,126,con,149,teams,26,sap,141,got,123
horrific,8,progression,22,group,76,highly,10,bonuses,27,two,65,client,25,per,74,partners,117,though,32,early,125,rate,149,supervisor,26,see,140,public,123
financial,8,area,22,happy,76,wages,10,car,27,hiring,65,made,25,chance,74,early,116,resources,32,quickly,125,however,148,general,26,wfh,140,flexibility,123
leader,8,per,22,middle,75,different,10,financial,27,comes,65,chase,25,uniform,74,last,116,products,32,wonderful,125,start,148,barclays,26,events,139,downside,123
improve,8,fair,22,outside,75,talent,10,hr,27,resources,65,basic,24,based,74,favoritism,116,investment,32,scope,124,tiring,148,success,26,shift,139,global,123
show,8,multiple,22,worth,75,software,10,stock,27,cut,64,frustrating,24,offers,74,cut,115,feedback,32,would,124,talent,148,chase,26,promotion,139,colleagues,122
practices,8,busy,22,problem,75,prepared,10,3,27,unfair,64,system,24,healthcare,74,raise,115,yes,31,salaries,124,resources,148,sage,26,plan,139,use,122
understaffed,8,space,22,hiring,75,done,10,genuinely,27,towards,64,5,24,future,74,mobility,115,structure,31,department,124,audit,148,vodafone,26,ideas,139,problem,122
limited,8,meals,22,data,75,path,10,short,27,organisation,64,look,24,none,73,decision,114,community,31,wellbeing,123,used,146,fresh,25,technical,139,contract,122
star,8,hotel,22,said,74,ca,10,curve,27,hired,64,trying,24,leaders,72,however,114,safe,31,consulting,123,recognition,146,strategy,25,going,138,base,122
wages,8,group,22,needs,74,pandemic,10,workplace,27,reviews,64,awesome,24,option,72,might,114,space,31,find,123,policies,145,back,25,scheme,138,skills,122
option,8,stable,22,head,74,disappointed,10,organisation,27,overall,64,fresher,24,hotel,72,proper,114,advancement,31,pace,123,direction,145,welcoming,25,got,138,google,122
call,8,2,22,towards,74,general,10,policy,27,away,63,knowledge,24,going,71,next,113,yet,31,got,120,focused,145,everyone,25,problems,138,path,121
constant,8,open,22,human,73,citi,10,offers,26,flexibility,63,curve,24,try,71,paced,112,lead,31,set,120,dont,144,heart,25,could,137,stay,120
